section,n,recoverable_exact,avg_engine_delta_cp,avg_specificity
bishop_endings,40,0.3076923076923077,8495.416666666666,0.2296077785364984
bishop_vs_knight_endings,19,0.16666666666666666,283.25,0.23192165226118622
bishop_vs_pawns,3,0.3333333333333333,397.0,0.2152274225444957
knight_endings,30,0.27586206896551724,9806.904761904761,0.2449956940148513
pawn_endings,120,0.40336134453781514,381.85074626865674,0.2300037186352953
queen_endings,21,0.19047619047619047,18082.176470588234,0.22779380543981217
queen_rook_endings,190,0.273224043715847,22089.867924528302,0.24657771514833987
rook_endings,165,0.4591194968553459,9324.415584415585,0.23950936072710496
