section,n,recoverable_exact,recoverable_top3,avg_engine_delta_cp,avg_specificity
bishop_endings,40,0.2564102564102564,0.3333333333333333,8495.416666666666,0.2296077785364984
bishop_vs_knight_endings,19,0.2631578947368421,0.47368421052631576,283.25,0.23192165226118622
bishop_vs_pawns,3,0.3333333333333333,0.3333333333333333,397.0,0.2152274225444957
knight_endings,30,0.23333333333333334,0.5,9806.904761904761,0.2449956940148513
pawn_endings,120,0.48333333333333334,0.6416666666666667,381.85074626865674,0.2300037186352953
queen_endings,21,0.23809523809523808,0.42857142857142855,18082.176470588234,0.22779380543981217
queen_rook_endings,190,0.32275132275132273,0.4126984126984127,22089.867924528302,0.24657771514833987
rook_endings,165,0.49382716049382713,0.5308641975308642,9324.415584415585,0.23950936072710496
